20170921180955,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921181155,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921181355,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921181555,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921181755,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921181955,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921182155,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921182255,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921182455,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
20170921182655,88.0,32,1.2,1.3,1.4,1.5,1.7,1.8,00000000,00000000
